File Path,Type,Size (bytes),Creation date,Last Modified,File Type,Special
/Users/abi/Desktop/desktop 2.0/ytforSOft/7.mp4,File,722292,2025-08-15 18:18:25,2025-02-27 11:44:15,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/6.mp4,File,2191748,2025-08-15 18:18:26,2025-02-27 11:44:11,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/finalvideo.mov,File,60483933,2025-08-15 18:18:22,2025-02-27 13:46:38,.mov,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/4.mp4,File,891164,2025-08-15 18:18:29,2025-02-27 11:44:01,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.25.06 PM.png,File,230156,2025-08-15 18:18:23,2025-02-27 12:25:07,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/5.mp4,File,853309,2025-08-15 18:18:22,2025-02-27 11:44:06,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 1.27.53 PM.png,File,96438,2025-08-15 18:18:26,2025-02-27 13:27:58,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screen Recording 2025-02-27 at 1.13.30 PM.mov,File,13790417,2025-08-15 18:18:29,2025-02-27 13:14:09,.mov,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/app.jpg,File,12332,2025-08-15 18:18:26,2025-02-27 12:06:05,.jpg,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/1.mp4,File,2140727,2025-08-15 18:18:25,2025-02-27 11:43:43,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.50.21 PM.png,File,43294,2025-08-15 18:18:26,2025-02-27 12:50:22,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/1stimages.jpg,File,37923,2025-08-15 18:18:22,2025-02-27 12:00:32,.jpg,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 9.31.50 AM.png,File,206928,2025-08-15 18:18:30,2025-02-27 09:31:55,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/2.mp4,File,1565249,2025-08-15 18:18:29,2025-02-27 11:43:53,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/3.mp4,File,808067,2025-08-15 18:18:26,2025-02-27 11:43:57,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 9.32.34 AM.png,File,241598,2025-08-15 18:18:25,2025-02-27 09:32:39,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screen Recording 2025-02-27 at 1.19.02 PM.mov,File,1160592,2025-08-15 18:18:25,2025-02-27 13:19:34,.mov,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/nep.jpeg,File,575883,2025-08-15 18:18:29,2025-02-27 12:04:19,.jpeg,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.26.52 PM.png,File,138225,2025-08-15 18:18:26,2025-02-27 12:26:53,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/bgimg.png,File,359750,2025-08-15 18:18:22,2025-02-23 15:57:09,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/shri Background Removed 2 2.png,File,1616382,2025-08-15 18:18:26,2025-02-11 10:51:29,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screen Recording 2025-02-27 at 1.07.34 PM.mov,File,4887928,2025-08-15 18:18:30,2025-02-27 13:07:54,.mov,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.56.35 PM.png,File,301631,2025-08-15 18:18:22,2025-02-27 12:56:37,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 9.31.58 AM.png,File,211255,2025-08-15 18:18:26,2025-02-27 09:32:03,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.16.57 PM.png,File,178297,2025-08-15 18:18:23,2025-02-27 12:17:02,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 9.31.37 AM.png,File,195446,2025-08-15 18:18:25,2025-02-27 09:31:43,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.23.36 PM.png,File,112493,2025-08-15 18:18:22,2025-02-27 12:23:42,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.57.19 PM.png,File,35829,2025-08-15 18:18:29,2025-02-27 12:57:24,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/17.mp4,File,2657953,2025-08-15 18:18:26,2025-02-27 11:45:19,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screen Recording 2025-02-27 at 1.22.18 PM.mov,File,6081603,2025-08-15 18:18:25,2025-02-27 13:23:06,.mov,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/users.png,File,45968,2025-08-15 18:18:29,2025-02-27 12:54:45,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/16.mp4,File,895364,2025-08-15 18:18:25,2025-02-27 11:45:15,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/14.mp4,File,2654341,2025-08-15 18:18:26,2025-02-27 11:45:05,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/15.mp4,File,2921020,2025-08-15 18:18:25,2025-02-27 11:45:11,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/11.mp4,File,1029040,2025-08-15 18:18:22,2025-02-27 11:44:53,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/10.mp4,File,1494809,2025-08-15 18:18:27,2025-02-27 11:44:48,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.57.12 PM.png,File,313819,2025-08-15 18:18:23,2025-02-27 12:57:18,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/12.mp4,File,951308,2025-08-15 18:18:22,2025-02-27 11:44:57,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.39.12 PM.png,File,162264,2025-08-15 18:18:29,2025-02-27 12:39:13,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/13.mp4,File,1690014,2025-08-15 18:18:30,2025-02-27 11:45:01,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/seeking.jpeg,File,10899,2025-08-15 18:18:27,2025-02-27 12:52:25,.jpeg,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/8.mp4,File,557567,2025-08-15 18:18:22,2025-02-27 11:44:38,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/9.mp4,File,739246,2025-08-15 18:18:30,2025-02-27 11:44:44,.mp4,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screenshot 2025-02-27 at 12.21.55 PM.png,File,117365,2025-08-15 18:18:22,2025-02-27 12:21:56,.png,0
/Users/abi/Desktop/desktop 2.0/ytforSOft/Screen Recording 2025-02-27 at 1.11.36 PM.mov,File,2795246,2025-08-15 18:18:22,2025-02-27 13:11:46,.mov,0
